,fw passes,fw_steps,mean_bw,bw_steps
mnist_mlp_sa-SLS,378370.5,4.042419871794872,93600.0,1.0
mnist_mlp_l-SLS,378102.75,4.039559294871795,93600.0,1.0
mnist_mlp_Sgd Armijo,188608.25,2.015045405982906,93600.0,1.0
cifar10_resnet34_sa-SLS,315156.0,4.040461538461538,78000.0,1.0
cifar10_resnet34_l-SLS,315198.0,4.041,78000.0,1.0
cifar10_resnet34_Sgd Armijo,157537.75,2.0197147435897436,78000.0,1.0
cifar10_densenet121_sa-SLS,315070.5,4.039365384615385,78000.0,1.0
cifar10_densenet121_l-SLS,315140.25,4.040259615384615,78000.0,1.0
cifar10_densenet121_Sgd Armijo,157528.25,2.019592948717949,78000.0,1.0
cifar100_resnet34_100_sa-SLS,315471.0,4.0445,78000.0,1.0
cifar100_resnet34_100_l-SLS,315042.0,4.039,78000.0,1.0
cifar100_resnet34_100_Sgd Armijo,157305.25,2.0167339743589743,78000.0,1.0
