slope,acc,loss,lr
0.1,0.9461,0.0005513583545032419,"[ 0.08087907  0.13887995  0.23847506  0.29852031  0.4613386   0.51974848
  0.80322855  0.90492496  0.35547667  0.61039996  0.94332295  0.56479246
  0.87284032  0.42330004  0.72686156  1.24811643  0.83031156  0.26419502
  0.45365743  0.77898918  1.33762636  2.29687953  0.25482783  0.43757274
  0.75136966  1.29020003  2.21544231  3.80420439  1.08940634  1.87065326
  3.21215647  1.02206906  1.75502633  1.16753422  2.00480905  3.44251952
  3.49053788  3.53922603  5.46958285  3.27478427  5.62323318  9.65582729
 12.08705266 15.13043238 17.04608986 19.20428789 17.5249449  19.74377056
 18.01725183  7.86401925  7.17634024  3.13226892  5.37851566  3.22025993
  2.14228334  1.42515759  1.60559618  2.75701877  1.33706719  2.29591935
  1.37462779  2.36041582  2.1540063   1.59217369  2.46057353  2.2454056
  1.65973317  1.68288414  2.88973231  1.92239928  2.16579342  1.9764029
  1.18332482  1.6458581   1.35174058  1.52288387  1.90632837  1.40909795
  2.17764504  1.60964669  2.01493707  1.20639625  1.10090142  1.53121737
  2.36637055  1.57423199  1.29291417  1.31094853  1.64103017  1.84880029
  1.87458848  1.01012924  1.73452411  1.42456183  0.94769215  1.62731146
  1.08257168  1.67302553  0.59148483  1.01565686]"
0.5,0.9265,0.05968718007684518,"[8.08790740e-02 1.12492764e-01 1.93164797e-01 2.98520313e-01
 4.15204741e-01 4.67773633e-01 4.26868582e-01 7.32989221e-01
 6.02002855e-01 6.78222175e-01 6.18914188e-01 1.06275666e+00
 3.38156222e-01 5.80658489e-01 9.97066618e-01 7.37000272e-01
 1.26552592e+00 3.26166694e-01 5.60070900e-01 9.61715033e-01
 1.65139057e+00 5.74944663e-02 9.87255231e-02 1.69524644e-01
 2.91095999e-01 4.99849928e-01 8.58307743e-01 1.47382672e+00
 2.53075337e+00 2.56605386e+00 4.40625030e+00 9.46577720e-06
 1.62539783e-05 2.79102079e-05 4.79254796e-05 7.07323353e-08
 2.69455431e-10 2.45892563e-10 7.82400181e-11 1.34348351e-10
 6.51547149e-11 1.11879172e-10 1.72900063e-10 1.03519852e-10
 6.88667557e-11 1.18253232e-10 7.08013456e-11 1.21575176e-10
 8.08780906e-11 1.01242256e-10 1.14060494e-10 1.04086332e-10
 1.30294063e-10 7.02094592e-11 8.65489414e-12 1.48615859e-11
 2.55192880e-11 4.38199573e-11 7.52446015e-11 8.47712879e-11
 1.06115715e-10 1.19550980e-10 1.66280590e-10 1.36565978e-10
 9.08507465e-11 2.60168407e-11 4.46743203e-11 7.67116546e-11
 1.18551555e-10 2.03568536e-10 9.87243227e-11 5.31979826e-11
 9.13478984e-11 2.35432886e-11 4.04269077e-11 3.32025536e-11
 2.20880546e-11 3.79280805e-11 6.51274780e-11 1.11832403e-10
 1.13392310e-10 1.94709436e-10 3.65833180e-11 6.28183448e-11
 5.15926044e-11 1.82401536e-11 3.13207308e-11 5.37817938e-11
 9.23503785e-11 1.04042820e-10 1.17215636e-10 7.01801092e-11
 1.20508432e-10 1.22189357e-10 1.37659699e-10 1.39579860e-10
 1.14636712e-10 1.77161614e-10 1.61669494e-10 2.02375999e-10]"
0.9,0.9447,0.00021877336339574144,"[0.08087907 0.13887995 0.23847506 0.3685436  0.37368427 0.57749831
 0.3111872  0.53434914 0.43886008 0.75358019 0.45118844 0.77474961
 0.3043406  0.52259264 0.89735996 1.54088448 1.025076   1.76018964
 2.44820554 0.86554353 1.48625152 2.55208836 0.65775518 1.12945172
 1.93941641 3.3302318  1.30819653 2.24634465 3.85726775 2.07850362
 3.21215647 5.51569304 0.44610415 0.7660192  1.31535522 2.03277335
 0.7186708  1.23405181 2.11902846 3.63864919 2.689575   0.4093217
 0.70285893 1.20690077 0.89210308 1.37867196 1.55322502 1.03328556
 1.29345488 1.06231239 1.07713017 1.09215464 1.10738868 0.90949652
 1.1384972  0.9350459  0.62204086 0.63071746 0.63951509 0.80053758
 0.65748021 0.66665115 0.608355   0.61684071 0.77215405 0.63416886
 0.30755191 0.52810687 0.81614576 0.4886481  0.55051563 0.62021617
 0.69874147 0.51648771 0.886877   0.80932293 0.59822604 0.54591342
 0.61503128 0.62361011 0.33603472 0.37857993 0.47390196 0.59322498
 0.54134968 0.60988973 0.6871076  0.56432036 0.51497266 0.6446368
 0.31262853 0.5368241  0.74665575 0.55190444 0.45327822 0.56740842
 0.03717209 0.06382934 0.10960333 0.08101533]"
1.0,0.9485,0.0007584063219062442,"[8.08790740e-02 1.38879955e-01 2.38475058e-01 3.31689237e-01
 3.02684256e-01 5.19748481e-01 4.74298425e-01 6.59690299e-01
 5.41802570e-01 6.78222175e-01 6.87682431e-01 1.18084073e+00
 2.21864297e-01 2.02463096e-01 3.47655633e-01 5.96970220e-01
 1.02507600e+00 1.56004519e-01 2.67880175e-01 4.59985319e-01
 7.89854992e-01 1.35628439e+00 2.32891780e+00 2.09289684e-01
 3.59377777e-01 6.17098676e-01 1.05963919e+00 1.47382672e+00
 7.94177223e-01 1.08777995e-01 1.86786054e-01 3.20736100e-01
 5.50745859e-01 9.45702717e-01 1.62389533e+00 2.78844081e+00
 4.78811780e+00 1.52352075e+00 2.61608452e+00 2.14858596e+00
 3.68940329e+00 2.72709083e+00 4.21449467e+00 7.23683890e+00
 1.00655456e+01 1.39999259e+01 1.57724504e+01 1.97437706e+01
 2.00191687e+01 2.25537869e+01 2.28683809e+01 2.08686267e+01
 2.35107945e+01 2.64874860e+01 2.68569495e+01 2.72315666e+01
 2.48502682e+01 3.11072776e+01 2.55483565e+01 2.59047206e+01
 2.91845060e+01 2.39691873e+01 2.43035241e+01 2.21782720e+01
 2.24876281e+01 9.81521165e+00 1.36517424e+01 1.24579487e+01
 9.20852369e+00 9.33696979e+00 7.66843810e+00 6.99786193e+00
 5.74733262e+00 7.19444435e+00 5.31790689e+00 5.39208430e+00
 3.22838384e+00 1.66135249e-03 2.85275966e-03 4.40870551e-03
 7.57032435e-03 1.29992377e-02 2.23213923e-02 3.83287518e-02
 6.58154831e-02 1.13013798e-01 1.94059482e-01 3.33225527e-01
 5.72191840e-01 9.82528273e-01 1.68712963e+00 2.89702238e+00
 4.97456656e+00 5.04395485e+00 4.14259191e+00 3.78033778e+00
 4.25896470e+00 3.49788078e+00 5.40568717e+00 3.23652824e+00]"
2.0,0.9503,0.0003702761863182174,"[ 0.08087907  0.13887995  0.23847506  0.24180145  0.41520474  0.46777363
  0.16537763  0.28397504  0.48762231  0.15515548  0.26642226  0.45748189
  0.37572914  0.47033338  0.80762396  1.01097431  1.40613991  0.75770392
  1.3010768   1.18730251  1.08347736  1.86047242  3.19467463  2.36140297
  1.93941641  2.42773898  4.16874556  7.1582817   4.76205894  8.17707843
 12.63700244 15.81885315 16.03950415 20.07806534 20.35812642 22.93565997
 23.25558052 17.18979341 23.90887122 26.93596302 19.91021635 24.923378
 25.27102446 28.47057789 28.86770285 26.34333044 26.71078326 24.37502538
 27.46113676 27.84418142 15.00394471  9.98139946 10.1206261   7.48084838
  9.36443927  6.22970898  6.31660476  6.40471261  5.26018005  5.33355224
  5.40794788  4.4415388   4.05314288  4.56630953  4.6300032   4.22512678
  4.28406142  3.51849267  3.21081368  3.6173334   5.03126224  2.71111509
  3.77082493  3.8234227   5.31790689  3.53774651  4.42851006  2.94607377
  4.09762332  1.98721814  3.07108226  4.27149463  2.55745709  3.20139513
  4.00746931  3.29132803  2.18956151  2.74086771  3.08788778  4.29486903
  3.17463205  4.90613283  3.62645902  3.67704308  4.14259191  2.23225165
  1.83334465  3.1480927   5.40568717  2.91287541]"
5.0,0.9427,0.0007427520088290644,"[0.08087907 0.12499196 0.21462755 0.3685436  0.51259845 0.30690628
 0.52699825 0.43282281 0.39497407 0.61039996 1.04813661 0.27013848
 0.46386313 0.7965137  1.23094644 0.59697022 1.025076   1.76018964
 1.60626765 2.75817178 0.63978254 1.09859036 1.88642342 1.9127364
 1.93941641 1.16118003 1.05963919 0.63443408 0.46895371 0.34663583
 0.31632382 0.3207361  0.29268893 0.24038494 0.15991649 0.14593239
 0.18267647 0.18522456 0.15212463 0.15424655 0.14075827 0.14272165
 0.16079158 0.13205786 0.1653085  0.22992363 0.12389524 0.21274433
 0.12737567 0.11623715 0.11785849 0.16392655 0.12116935 0.12285949
 0.1009043  0.01535645 0.02636903 0.04527908 0.07775011 0.1201564
 0.10964917 0.18828197 0.13917211 0.14111337 0.02651333 0.04552686
 0.07817557 0.12081391 0.06510104 0.09054748 0.12594032 0.09309112
 0.12947821 0.14587139 0.14790609 0.13497225 0.08979052 0.10115886
 0.12662949 0.15851332 0.08541552 0.08660694 0.00372258 0.00639216
 0.01097617 0.01884752 0.03236365 0.05557263 0.08588293 0.1194525
 0.09810614 0.13645348 0.11206902 0.11363223 0.06123117 0.10514193
 0.08635289 0.1334513  0.10960333 0.08101533]"
10.0,0.9344,0.00274442962948412,"[0.08087907 0.13887995 0.23847506 0.33168924 0.27241583 0.46777363
 0.58555361 0.38954052 0.66889206 0.61039996 0.29602474 0.50831322
 0.70700066 0.47033338 0.72686156 0.5372732  0.21105406 0.11372729
 0.08406364 0.10522989 0.06300392 0.06388274 0.05829643 0.05910959
 0.04854661 0.04430139 0.0404274  0.04554589 0.0461812  0.03792854
 0.02803558 0.03158516 0.03558414 0.03608049 0.02666956 0.03004618
 0.01998828 0.02251898 0.02054978 0.02572398 0.02898088 0.02380195
 0.01759365 0.01300467 0.02009765 0.02264221 0.02066223 0.02327827
 0.01254359 0.02153898 0.00126996 0.00218068 0.00374452 0.00642982
 0.01104085 0.01895858 0.01922302 0.01754204 0.02710979 0.01803483
 0.02508421 0.01854146 0.01692008 0.01715609 0.0032234  0.00113961
 0.00195686 0.00336018 0.00576987 0.00383841 0.00659106 0.0048719
 0.00291694 0.00500876 0.0086007  0.00572163 0.00982479 0.01366506
 0.01385567 0.01734437 0.00841147 0.00947644 0.01627229 0.02036947
 0.01858824 0.00229142 0.00393466 0.00675633 0.01160151 0.00332231
 0.00570485 0.00132329 0.00227226 0.00390177 0.00669985 0.01150452
 0.01440123 0.01460211 0.01645087 0.01668034]"
